Проект,,,
Дата,,,
Тестировщик,,,
Предусловия,,,
Окружение,,,
Вид тестирования,,,
Номер,Проверка,"Ожидаемый
результат",Статус
Т-1,Открытие плеера,плеер открывается и воспроизводит ролик.,
Т-2,"Кнопка ""Смотреть""","Воспроизведенное видео ставится на паузу при нажатии кнопки ""Смотреть"", 
при повторном нажатии видео продолжает играть.",
Т-3,"Кнопка ""Следующее""","При нажатии на кнопку включается следующее видео из представленного 
списка в правой части страницы.",
Т-4,"Кнопка ""Отключение звука""","При нажатии на кнопку звук в видео отключается, при повторном нажатии 
звук появляется.",
Т-5,Отображение кнопки регулятора громкости.,"При наведении курсора мыши на кнопку ""Отключение звука"" справа от нее 
появляется регулятор громкости звука.",
Т-6,Отображение времени воспроизведения видео,"Время отображается и отчитывается в корректном формате в соответствии 
с проигрышем видеоролика.
Время ставится на паузу при разовом нажатии на кнопку ""Смотреть"".",
Т-7,"Кнопка ""Субтитры""","При нажатии на кнопку ""Субтитры"" во время воспроизведения видеоролика 
появляются субтитры корректно дублирующие речь.",
Т-8,Скорость воспроизведения,"При нажатии на кнопку ""Настройки"" открывается меню с дополнительными 
возможностями применимыми к видеоролику. 
После нажатия на кнопку ""Скорость воспроизведения"" открывается список 
с возможными режимами скорости, при выборе любого из них скорость 
воспроизведения видеоролика должна меняться в соответсвии с выбранным режимом.",
Т-9,Качество воспроизведения,"При нажатии на кнопку ""Настройки"" открывается меню с дополнительными 
возможностями применимыми к видеоролику. 
После нажатия на кнопку ""Качество"" открывается список с возможными форматами, 
при выборе любого из них качество воспроизведения видеоролика должно меняться 
в соответсвии с выбранным форматом.",
Т-10,"Кнопка ""Во весь экран""","При нажатии на кнопку ""Во весь экран"" видеоролик разворачивается на всю страницу.",
